titulo,empresa,data,link
Auxiliar de Estoque,Vaga Confidencial,"
                    01/07/2025",
Atendente,Ortopedia Brasil,"
                    02/07/2025",
Vendedor(a) com Experiência,Maison Tressoldi,"
                    01/07/2025",
Contador(a),Construtora Imperio,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461679/contadora/maringa/pr
Assistente de Vendas- Parque Industrial,Enjoy RH,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461678/assistente-de-vendas-parque-industrial/maringa/pr
Operador de Guilhotina,Vaga Confidencial,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461686/operador-de-guilhotina/maringa/pr
Porteiro Noturno,Drugovich Auto Peças,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461685/porteiro-noturno/maringa/pr
Estágio em Atendimento - Jardim Dias,Enjoy RH,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461684/estagio-em-atendimento-jardim-dias/maringa/pr
Operador de Dobradeira,Vaga Confidencial,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461683/operador-de-dobradeira/maringa/pr
Auxiliar de Produção,Vaga Confidencial,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461682/auxiliar-de-producao/maringa/pr
Estágio de Copywriter,Enjoy RH,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461681/estagio-de-copywriter/maringa/pr
Pintor Automotivo,Inove Assessoria em Rh,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461680/pintor-automotivo/maringa/pr
Frentista Auto Posto,Posto Piu Bello,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461674/frentista-auto-posto/maringa/pr
Marceneiro,Inove Assessoria em Rh,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461677/marceneiro/maringa/pr
Estágio Administrativo - Jd. Dias,Enjoy RH,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461676/estagio-administrativo-jd-dias/maringa/pr
Atendente (salário+benefícios: 2.700$),Gior Gelatos,"
                    04/07/2025",
Costureira(o) - Retista,Alce,"
                    04/07/2025",
Auxiliar de Cozinha,Agua Doce Cachacaria,"
                    01/07/2025",
Recepção de Hotel Noturno 12x36,Dom Hotel,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461669/recepcao-de-hotel-noturno-12x36/maringa/pr
Pessoas para trabalhar em açaíteria,Açaimix,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/312372/pessoas-para-trabalhar-em-acaiteria/sarandi/pr
Recepção Clínica Odontológica,Odontocompany,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/450936/recepcao-clinica-odontologica/maringa/pr
Estágio Mídias Sociais,Gerar Maringá,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461671/estagio-midias-sociais/maringa/pr
Auxiliar de Expedição,Inove Assessoria em Rh,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461675/auxiliar-de-expedicao/maringa/pr
Fresador,Worddata,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461673/fresador/maringa/pr
Assistente de Inteligência de Mercado,Lightsweet | Lowçucar e Magro,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461672/assistente-de-inteligencia-de-mercado/marialva/pr
Mecânico Manutenção,Lightsweet | Lowçucar e Magro,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461670/mecanico-manutencao/marialva/pr
Auxiliar de Produção,Mtk Industrial,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461668/auxiliar-de-producao/maringa/pr
Auxiliar de Produçao,Dubay Aviamentos,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/433210/auxiliar-de-producao/maringa/pr
Costureira(o),Ragus,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461666/costureirao/maringa/pr
Operador (a) de Caixa 14:00 As 20:15,Açougue Unidos,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461667/operador-a-de-caixa-1400-as-2015/maringa/pr
Balconista - Atendente Horário 14:50 Ás 21:00,Holandesa Padaria,"
                    05/07/2025",
Repositor Loja Varejo,Vaga Confidencial,"
                    01/07/2025",
Auxiliar/consultor Fiscal,Siscon Contabilidade,"
                    04/07/2025",
Supervisor de Vendas Externas - Telecom,Vaga Confidencial,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461664/supervisor-de-vendas-externas-telecom/maringa/pr
Doméstica - Mensalista,Vaga Confidencial,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461665/domestica-mensalista/maringa/pr
Auxiliar Contábil - Escritório de Contabilidade,Km-s Solucoes em Servicos Administrativos ,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/337733/auxiliar-contabil-escritorio-de-contabilidade/maringa/pr
Auxiliar Contábil - Escritório de Contabilidade,Xfort Solucoes em Servicos Administrativos e Comerciais,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/332308/auxiliar-contabil-escritorio-de-contabilidade/maringa/pr
Auxiliar Contábil - Escritório,Pnat Servicos Administrativos,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/327569/auxiliar-contabil-escritorio/maringa/pr
Supervisor Comercial Externo - Seg A Sex,Vaga Confidencial,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461663/supervisor-comercial-externo-seg-a-sex/maringa/pr
Auxiliar de Escritorio /comercial/ Administrativo,Espanha Gas e Água,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/422882/auxiliar-de-escritorio-comercial-administrativo/maringa/pr
Vendedor(a) Externo(a) - Sem Experiência? A Gente Treina!,Vaga Confidencial,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461662/vendedora-externoa-sem-experiencia-a-gente-treina/maringa/pr
